ID,TEAM,Team_Season,Season End,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,+/-,AST%,AST/TO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,FTA RATE,FT Rate,OPP EFG%,OPP FTA RATE,OPP FT Rate,OPP TOV %,OPP REB %,OPP_FGM,OPP_FGA,OPP_FG%,OPP_3PM,OPP_3PA,OPP_3P%,OPP_FTM,OPP_FTA,OPP_FT%,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_+/-_Per_Game,Possessions,Plus Minus Per Possession,Shooting Factor,Crashing Factor,Protecting Factor,Attacking Factor,Residual W,Column 70
240,Charlotte Bobcats,Charlotte Bobcats2012,2012,66,7,59,0.106,3178,5739,2193,5293,41.4,263,892,29.5,1090,1462,74.6,677,1894,2571,1326,957,397,361,378,-918,60.5,1.39,28.5,67.8,47.4,15.7,43.9,48.3,91.86,0.276,0.205932363,51.2,0.275,0.206097561,14.6,32.2,38.9,82,47.5,6.2,17.3,35.6,16.9,22.5,75,11.8,33.2,45,23.3,13.5,7.6,5.7,5.5,13.9,5967.6288,-0.153829943,-7.3,96.3,1.1,-0.016519748,,2.4
241,Denver Nuggets,Denver Nuggets2013,2013,82,57,25,0.695,3981,8704,3339,6983,47.8,521,1518,34.3,1505,2148,70.1,1092,2601,3693,2002,1253,762,533,554,417,60,1.6,34.5,67.5,51.3,15.7,51.5,54.9,95.92,0.308,0.215523414,49.3,0.264,0.19369895,16.4,32.5,38.1,85.7,44.4,8.4,23.1,36.3,16.6,22.7,73.1,12.4,29.2,41.6,23.6,15.9,8,6.8,6.5,-5.1,7765.5552,0.053698672,2.2,102,-0.7,2.182446418,1.148801669,9.7
242,Houston Rockets,Houston Rockets2013,2013,82,45,37,0.549,3956,8688,3124,6782,46.1,867,2369,36.6,1573,2087,75.4,909,2652,3561,1902,1348,679,359,498,285,60.9,1.41,30.5,71,50.9,16.9,52.5,56.4,96.89,0.308,0.231937482,50.2,0.253,0.196491228,15.2,29,38.8,85.5,45.4,8.1,21.9,36.8,16.8,21.6,77.6,10.7,31,41.6,22.7,14.8,8.5,6.1,4.4,-3.5,7813.7088,0.036474356,2.3,101.5,1.7,3.54462535,-3.978258126,9.3
243,Oklahoma City Thunder,Oklahoma City Thunder2013,2013,82,60,22,0.732,3966,8669,3126,6504,48.1,598,1588,37.7,1819,2196,82.8,854,2725,3579,1753,1253,679,624,322,755,56.1,1.4,29.1,70.2,51.3,16,52.7,58,94.58,0.338,0.279674047,46.9,0.254,0.196470588,15.5,29.8,36.2,85,42.5,7.4,21.5,34.6,16.7,21.6,77.4,12,28.7,40.7,20.5,14.8,8.2,3.9,7.6,-9.2,7554.4704,0.099940824,5.8,99.3,0.5,8.320345851,-6.444677064,10.6
244,San Antonio Spurs,San Antonio Spurs2013,2013,82,58,24,0.707,3976,8448,3210,6675,48.1,663,1764,37.6,1365,1725,79.1,666,2721,3387,2058,1206,695,446,405,525,64.1,1.71,24.3,71.5,49.3,15.3,53.1,56.8,95.31,0.258,0.204494382,48,0.235,0.179034158,15.5,28.5,37.5,84.9,44.2,6.3,17.9,35.3,15.2,20,76,11.1,31.4,42.5,21.4,14.9,8.2,4.9,5.4,-6.4,7655.04,0.068582267,5.1,95.8,-0.2,2.546022419,1.107373523,6.8
245,Miami Heat,Miami Heat2013,2013,82,66,16,0.805,3976,8436,3148,6348,49.6,717,1809,39.6,1423,1887,75.4,676,2490,3166,1890,1143,710,441,262,645,60,1.65,26.4,67.8,48.5,15.1,55.2,58.8,91.26,0.297,0.224165091,48.7,0.262,0.200247219,17,32.2,35.6,80.9,44,7.6,21.7,35,16.2,21.2,76.6,11.2,28.9,40.1,20.2,15.6,7.9,3.2,5.4,-7.9,7339.4688,0.087881019,6.5,94.2,-1.9,2.391787258,0.804005148,8.4
246,Los Angeles Lakers,Los Angeles Lakers2013,2013,82,45,37,0.549,3951,8381,3041,6640,45.8,715,2015,35.5,1584,2289,69.2,942,2732,3674,1818,1232,576,429,396,95,59.8,1.48,30.9,70.2,51,15.7,51.2,54.8,95.08,0.345,0.238554217,49.6,0.222,0.162100457,13.6,29.8,39.7,87.6,45.3,7.5,21,35.7,14.2,19.4,73.2,11.5,31.1,42.7,23.4,12.9,8.5,4.8,5.2,-1.2,7619.6736,0.012467726,1.6,101.1,2.1,7.645376025,-2.613889495,8.3
247,Golden State Warriors,Golden State Warriors2013,2013,82,47,35,0.573,3961,8296,3130,6840,45.8,658,1632,40.3,1378,1744,79,885,2801,3686,1845,1236,567,346,399,73,58.9,1.49,28.5,71.2,50.6,15.7,50.6,54.5,95.64,0.255,0.201461988,48.6,0.282,0.211084906,14.1,28.8,37.2,84.8,43.9,8,23.1,34.7,17.9,23.9,74.8,11.1,31.7,42.7,23.5,13.5,8.2,4.9,4.2,-0.9,7640.0256,0.009554942,2,99.7,1.6,-0.962291736,4.682698549,7.9
248,Dallas Mavericks,Dallas Mavericks2013,2013,82,41,41,0.5,3996,8293,3182,6892,46.2,606,1628,37.2,1323,1669,79.3,767,2670,3437,1906,1144,648,454,340,-49,59.9,1.67,25.9,69.8,48.4,14.4,50.6,54.4,95.09,0.242,0.191961695,49.2,0.302,0.227380952,15.2,30.2,37.4,84,44.5,7.8,21.8,35.9,19.1,25.4,75.3,12,33.6,45.6,22,14.7,8.5,4.1,5.5,0.6,7683.2256,-0.00637753,1.4,95.7,-0.8,-3.541925766,0.78287129,2.8
249,Los Angeles Clippers,Los Angeles Clippers2013,2013,82,56,26,0.683,3946,8289,3160,6608,47.8,627,1752,35.8,1342,1888,71.1,938,2475,3413,1958,1197,784,461,335,529,62,1.64,32.3,69.7,51.2,15.9,52.6,55.7,91.83,0.286,0.203087167,49.2,0.306,0.229487179,17.5,30.3,34.6,78,44.3,7.6,20.5,37.3,17.9,23.9,74.9,10.9,28.2,39.1,22.1,16.1,7.4,4.1,5.6,-6.5,7389.8112,0.071585049,3.4,102,-1.6,-2.640001242,-3.57868155,12.1
250,Sacramento Kings,Sacramento Kings2013,2013,82,28,54,0.341,3966,8219,3086,6904,44.7,610,1681,36.3,1437,1869,76.9,943,2385,3328,1708,1199,671,342,517,-400,55.3,1.42,30.6,67.3,48.5,15.4,49.1,53.2,94.65,0.271,0.208140209,51.7,0.29,0.226890756,15.4,32.7,39.3,83.3,47.2,7.6,21.5,35.5,18.9,24.1,78.3,11.9,31.7,43.6,25.1,14.7,7.6,6.3,4.2,4.9,7663.0656,-0.052198431,-2.6,97.9,0,-1.875054773,1.031805384,4.9
251,New York Knicks,New York Knicks2013,2013,82,54,28,0.659,3946,8196,2996,6689,44.8,891,2371,37.6,1313,1729,75.9,890,2436,3326,1579,988,672,294,327,347,52.7,1.6,29.1,70.8,49.4,13.2,51.5,55,90.68,0.258,0.19629242,50.8,0.286,0.216494845,16.7,29.2,35.6,77.6,45.8,7.8,21.8,35.7,16.8,22.2,75.7,10,31.6,41.6,19.3,15.1,6.4,4,3.6,-4.2,7245.8496,0.047889484,0.7,99.9,-3.5,-2.020242497,0.963800937,7.8
252,Milwaukee Bucks,Milwaukee Bucks2013,2013,82,38,44,0.463,3966,8108,3128,7197,43.5,601,1670,36,1251,1700,73.6,1068,2537,3605,1876,1156,685,550,362,-123,60,1.62,31.5,67.8,49.1,14.6,47.6,51,95.65,0.236,0.173822426,49.2,0.265,0.200708383,16.6,32.2,38.4,84.7,45.4,6.5,18.5,34.8,17,22.5,75.9,12.4,33.6,46,23.1,16,8,4.4,6.7,1.5,7711.68,-0.015949832,-1.6,99.3,-2,-2.688595652,-0.349752484,3.1
253,Utah Jazz,Utah Jazz2013,2013,82,43,39,0.524,3976,8038,3046,6710,45.4,507,1385,36.6,1439,1883,76.4,989,2457,3446,1859,1210,690,515,480,-7,61,1.54,32.9,69.7,51,15.9,49.2,53.3,92.05,0.281,0.214456036,50.1,0.298,0.225281602,15.8,30.3,36.6,79.9,45.8,6.8,18.5,37,18,23.8,75.7,11,29.8,40.8,20.6,14.7,7.8,5.9,6.3,0.1,7449.1392,-0.000939706,-0.9,102.6,0.1,-1.082556623,2.919484186,10.2
254,Atlanta Hawks,Atlanta Hawks2013,2013,82,44,38,0.537,3971,8032,3084,6644,46.4,706,1901,37.1,1158,1619,71.5,758,2593,3351,2007,1219,664,369,350,33,65.1,1.65,25.4,70.1,48.2,15.7,51.7,54.6,93.56,0.244,0.174292595,49.6,0.237,0.180288462,16.1,29.9,37.5,83.2,45,7.6,19.9,37.9,15,19.7,76.3,11.3,32.4,43.7,22.3,15.2,8.4,4.3,4.5,-0.4,7504.6656,0.004397265,2.1,95.5,-0.4,-0.599586672,0.492053159,4.5
255,Portland Trail Blazers,Portland Trail Blazers2013,2013,82,33,49,0.402,3971,7995,3009,6715,44.8,673,1904,35.3,1304,1680,77.6,874,2474,3348,1784,1203,538,353,359,-260,59.3,1.48,29.4,70.2,49.5,15.7,49.8,53.6,92.46,0.25,0.194192107,51.2,0.248,0.189156627,14,29.8,39.3,83,47.4,6.4,18.7,34,15.7,20.6,76.1,11,31.4,42.4,23.7,13.1,8.4,4.4,4.3,3.2,7471.872,-0.03479717,-1.4,99.6,1.7,0.503548072,2.783624027,7.1
256,Toronto Raptors,Toronto Raptors2013,2013,82,34,48,0.415,3996,7971,2979,6685,44.6,571,1665,34.3,1442,1831,78.8,871,2426,3297,1765,1124,595,392,387,-121,59.2,1.57,29.6,68.8,49,14.8,48.8,53.2,91.26,0.274,0.215706806,50,0.331,0.247474747,15.4,31.2,36.2,79.2,45.8,6.7,18.4,36.1,19.6,26.2,74.7,10.7,31,41.7,21.9,14.3,7,4.7,4.8,1.5,7433.8944,-0.016276798,-1.2,98.4,-0.6,-3.176794119,0.176281946,7.3
257,Brooklyn Nets,Brooklyn Nets2013,2013,82,49,33,0.598,3971,7944,2942,6544,45,628,1760,35.7,1432,1958,73.1,1047,2460,3507,1668,1206,599,391,390,146,56.7,1.38,34.3,70.1,52,16.2,49.8,53.6,89.88,0.299,0.218826406,50.3,0.238,0.173482032,14.8,29.9,37.4,80.7,46.4,6.3,17.3,36.6,14,19.2,73.1,10.7,28.5,39.2,21.4,13.4,7.5,4.8,4.8,-1.8,7261.9392,0.020104823,-0.5,104.4,1.4,4.534437365,4.842371092,12.8
258,Cleveland Cavaliers,Cleveland Cavaliers2013,2013,82,24,58,0.293,3946,7913,2993,6901,43.4,547,1581,34.6,1380,1826,75.6,1004,2359,3363,1694,1149,647,334,560,-384,56.6,1.47,32.6,69.5,50,15,47.3,51.4,93.25,0.265,0.199971019,52.3,0.304,0.224874372,16.3,30.5,37.9,79.6,47.6,7.4,20,37.2,17.9,24.2,73.9,10.8,31.3,42.1,23.9,15.2,7.6,6.8,4.1,4.7,7535.4624,-0.050959049,-5,102.1,-1.3,-2.490335317,-3.390219187,7.9
259,Minnesota Timberwolves,Minnesota Timberwolves2013,2013,82,31,51,0.378,3946,7851,2943,6702,43.9,450,1475,30.5,1515,2042,74.2,973,2473,3446,1836,1214,700,387,481,-194,62.4,1.51,31.2,70.2,50,15.7,47.3,51.6,93.94,0.305,0.226051925,51.1,0.248,0.187192118,16.8,29.8,38,81.2,46.8,7,19,36.9,15.2,20.1,75.2,10.6,31.5,42.1,22.3,15.9,8.1,5.9,4.7,2.4,7527.8208,-0.02577107,-3.8,101.4,-1.1,3.885980657,-4.073454957,7.9
260,Boston Celtics,Boston Celtics2013,2013,81,41,40,0.506,3968,7818,3001,6459,46.5,498,1390,35.8,1318,1698,77.6,654,2533,3187,1843,1181,667,365,378,-18,61.4,1.56,24.6,69,47.7,15.4,50.3,54.2,92.46,0.263,0.204056355,48.2,0.292,0.215853659,16.2,31,36.1,82,44.1,6.8,19.9,34.2,17.7,23.9,74,11.4,32.1,43.6,21.6,15.3,7.8,4.7,4.5,0.2,7423.7952,-0.002424636,2.1,93.6,-0.8,-1.179730306,-0.724738472,4.1
261,Phoenix Suns,Phoenix Suns2013,2013,82,25,57,0.305,3961,7805,3061,6917,44.3,480,1455,33,1203,1618,74.4,959,2454,3413,1855,1278,659,434,421,-530,60.6,1.45,30.8,68.7,49.1,16.4,47.7,51.2,94.48,0.234,0.173919329,51.2,0.274,0.207021792,16.1,31.3,38.8,82.6,47,6.9,17.9,38.8,17.1,22.6,75.7,11.7,31.7,43.4,22.8,15.3,8.3,5.1,5.3,6.5,7630.0032,-0.069462618,-3.5,99.5,0.3,-3.310246258,1.229480786,5.7
262,Detroit Pistons,Detroit Pistons2013,2013,82,29,53,0.354,3961,7778,2979,6638,44.9,513,1440,35.6,1307,1870,69.9,991,2463,3454,1742,1241,574,400,472,-327,58.5,1.4,32.4,69.5,50.6,16.4,48.7,52.1,91.68,0.282,0.196896656,50.5,0.274,0.208128079,14.9,30.5,37.3,81.2,45.9,7.4,20.4,36,16.9,22.2,76.2,11.1,30.7,41.8,22.4,13.7,8.4,5.8,4.9,4,7402.368,-0.044175053,-1.8,101.9,1.5,-1.12314232,-2.291367662,8.8
263,Orlando Magic,Orlando Magic2013,2013,82,20,62,0.244,3956,7718,3093,6904,44.8,506,1537,32.9,1026,1359,75.5,890,2612,3502,1871,1191,528,358,430,-573,60.5,1.57,29.3,70.7,49.8,15.6,48.5,51.4,92.81,0.197,0.148609502,50.8,0.265,0.195443645,13.3,29.3,38.6,83.4,46.3,7.5,21,35.9,16.3,22.1,73.8,10.8,31.9,42.8,23.7,12.4,7.2,5.2,4.4,7,7490.8416,-0.076493408,-2.3,100,2.3,-4.683414335,-1.609620914,7
264,New Orleans Hornets,New Orleans Hornets2013,2013,82,27,55,0.329,3956,7714,2955,6589,44.8,535,1474,36.3,1269,1636,77.6,988,2426,3414,1721,1193,520,440,492,-317,58.2,1.44,33.2,70.5,51.4,16.2,48.9,52.8,89.5,0.248,0.192593717,52,0.274,0.207643312,14.7,29.5,37,78.5,47.1,7.7,20.6,37.4,16.3,21.5,75.9,10.2,29.2,39.3,23.4,13.2,7.9,6,5.4,3.9,7213.2864,-0.043946682,-3.1,103.7,1.5,-1.50495953,-1.606205078,12.1
265,Indiana Pacers,Indiana Pacers2013,2013,81,49,32,0.605,3918,7674,2845,6525,43.6,555,1599,34.7,1429,1915,74.6,1043,2671,3714,1645,1227,580,513,459,326,57.8,1.34,33.6,70.1,52.2,16.5,47.9,52.1,90.9,0.293,0.219003831,45.3,0.26,0.197080292,14.8,29.9,34.5,82.2,42,5.4,16.6,32.7,16.2,21.3,76,11.2,29.6,40.9,19.2,13.5,7.5,5.7,6.3,-4,7249.536,0.044968395,2.6,103.7,1.7,2.192353945,-3.113863257,11.3
266,Charlotte Bobcats,Charlotte Bobcats2013,2013,82,21,61,0.256,3961,7661,2823,6649,42.5,469,1399,33.5,1546,2060,75,917,2389,3306,1587,1153,591,479,565,-757,56.2,1.38,30.5,67.9,48.6,15.1,46,50.7,92.49,0.31,0.232516168,52.4,0.264,0.196363636,15.1,32.1,38.8,82.5,47.1,8.7,22.5,38.8,16.2,21.8,74.7,11.8,32.3,44.1,25.3,14,6.9,6.9,5.8,9.2,7479.744,-0.101206672,-6.4,98.4,0,3.615253148,3.475438586,4.5
267,Memphis Grizzlies,Memphis Grizzlies2013,2013,82,56,26,0.683,3961,7659,2964,6679,44.4,382,1107,34.5,1349,1746,77.3,1059,2445,3504,1715,1144,703,436,450,340,57.9,1.5,34.4,70.2,52,15.5,47.2,51.4,89.56,0.261,0.201976344,47.5,0.279,0.209090909,17.2,29.8,33.5,77,43.5,6.1,18.2,33.8,16.1,21.5,74.8,10.3,28.8,39.1,19.5,15.5,7.3,5.5,5.3,-4.1,7230.9504,0.047020098,-0.3,104.6,-1.7,-0.711456533,4.956591699,12.9
268,Washington Wizards,Washington Wizards2013,2013,82,29,53,0.354,3971,7644,2910,6693,43.5,545,1495,36.5,1279,1746,73.3,887,2652,3539,1775,1238,598,376,358,-208,61,1.43,27.9,70.6,49.1,16.1,47.5,51.2,93.23,0.261,0.191095174,48.3,0.279,0.205630355,15.4,29.4,35.9,81.7,44,7.1,20.5,34.9,16.8,22.8,73.8,11,33.2,44.2,21.5,14.5,7.8,4.4,4.6,2.5,7499.7504,-0.027734256,-0.8,98.5,0.7,-1.453518089,-3.645674461,4.9
269,Chicago Bulls,Chicago Bulls2013,2013,82,45,37,0.549,3966,7641,2926,6698,43.7,446,1265,35.3,1343,1738,77.3,1026,2514,3540,1886,1171,588,417,477,26,64.5,1.61,33.2,69.9,51.4,15.7,47,51.2,90.35,0.259,0.200507614,47.7,0.278,0.205992509,15,30.1,35.4,80.1,44.3,5.5,16,34.6,16.5,22.3,73.9,11,30.1,41.1,18.8,13.7,7.3,5.8,5.1,-0.3,7303.4112,0.00355998,-0.7,103.1,0.7,-0.548489515,4.97743048,10.3
270,Philadelphia 76ers,Philadelphia 76ers2013,2013,82,34,48,0.415,3951,7640,3059,6895,44.4,518,1438,36,1004,1377,72.9,896,2493,3389,1867,1070,609,384,396,-274,61,1.74,29.1,69.5,48.9,14.1,48.1,50.9,91.88,0.2,0.145612763,49.5,0.264,0.2,15.5,30.5,36.8,81,45.4,6.7,19.2,34.9,16.2,21.4,76,11,33,44,22.8,14.3,7.2,4.8,4.7,3.3,7367.8848,-0.037188421,-1.4,98.6,-1.4,-5.438723713,-0.180815607,4.9
271,Los Angeles Clippers,Los Angeles Clippers2014,2014,82,57,25,0.695,3951,8850,3208,6761,47.4,693,1966,35.2,1741,2384,73,858,2668,3526,2016,1136,703,397,284,572,62.8,1.77,28.8,69,49.6,14.3,52.6,56.7,96.66,0.353,0.257506286,48.4,0.294,0.222614841,15.8,31,37.4,84.9,44.1,7.3,21.8,33.2,18.9,25,75.5,12.3,31.4,43.7,23.3,15.4,7,3.5,4.8,-7,7764.4416,0.073669174,4.2,97.8,-1.5,3.489144506,-4.081479728,5.9
272,Houston Rockets,Houston Rockets2014,2014,82,54,28,0.659,3966,8829,3118,6603,47.2,779,2179,35.8,1814,2549,71.2,920,2797,3717,1755,1323,621,461,460,374,56.3,1.33,30.6,70,51.3,16.5,53.1,57.1,97.27,0.386,0.27472361,48.9,0.255,0.193181818,14.3,30,39,88,44.3,8.1,23,35.3,17,22.5,75.7,11.9,29.7,41.7,22.2,14,8.6,5.6,5.6,-4.6,7802.4576,0.047933615,4.2,100.6,2.2,8.15417923,-2.738995501,9.6
273,Minnesota Timberwolves,Minnesota Timberwolves2014,2014,82,40,42,0.488,3971,8768,3189,7175,44.4,600,1757,34.1,1790,2301,77.8,1024,2644,3668,1963,1142,718,297,457,219,61.6,1.72,31.7,71.5,50.8,14,48.6,53.5,98.33,0.321,0.249477352,51.8,0.233,0.176744186,16.6,28.5,40.5,86,47.1,8.1,22.2,36.4,15.2,20.1,75.6,11.1,33.1,44.2,22.9,16.4,7.9,5.6,3.6,-2.7,7973.2224,0.027466937,-3.2,103.2,-2.6,7.273316587,-7.074233346,6.6
274,Portland Trail Blazers,Portland Trail Blazers2014,2014,82,54,28,0.659,3971,8753,3207,7134,45,770,2071,37.2,1569,1926,81.5,1022,2786,3808,1904,1125,454,387,304,327,59.4,1.69,32,71.3,51.7,14.2,50.4,54.8,95.9,0.27,0.219932717,48.8,0.253,0.193621868,12.4,28.7,39.6,87.8,45.1,6.5,18.3,35.5,17,22.2,76.6,11.5,32,43.5,20.4,12,7.8,3.7,4.7,-4,7761.0624,0.042133407,1.6,103.3,1.8,2.631084869,6.171973497,8.2
275,Oklahoma City Thunder,Oklahoma City Thunder2014,2014,82,59,23,0.72,3961,8705,3194,6782,47.1,664,1839,36.1,1653,2052,80.6,887,2781,3668,1794,1256,678,501,296,520,56.2,1.43,29.4,72.2,51.8,15.8,52,56.6,96.33,0.303,0.243733412,48.8,0.304,0.220623501,15.7,27.8,36.4,83.4,43.6,8.6,24,35.8,18.4,25.4,72.7,11,30,40.9,21.8,15.2,8.2,3.6,6.1,-6.3,7731.7248,0.067255368,3.2,101.6,0.1,2.310991077,2.380607209,10.9
276,San Antonio Spurs,San Antonio Spurs2014,2014,82,62,20,0.756,3951,8639,3326,6844,48.6,698,1757,39.7,1289,1642,78.5,762,2786,3548,2064,1180,604,420,379,633,62.1,1.75,26.1,72.5,50.3,15,53.7,57.1,95.87,0.24,0.188340152,48.2,0.242,0.184488837,14.4,27.5,37.8,85.1,44.4,6.5,18.3,35.3,15.7,20.6,76,10.5,31.7,42.2,20.4,13.9,7.7,4.6,5.1,-7.7,7665.1008,0.082582084,5.5,98.6,0.6,0.38513153,3.905174305,8.1
277,Phoenix Suns,Phoenix Suns2014,2014,82,48,34,0.585,3951,8629,3172,6845,46.3,765,2055,37.2,1520,2004,75.8,928,2601,3529,1563,1258,688,374,332,216,49.3,1.24,29.8,69.9,50,15.8,51.9,55.8,96.83,0.293,0.222059898,49.6,0.309,0.237410072,15.8,30.1,38,83.4,45.6,6.8,19.9,34.1,19.8,25.8,76.6,11.3,31.5,42.8,20.3,15.3,7.5,4,4.6,-2.6,7734.4896,0.027926859,2.3,99.7,0,-1.535017421,-0.066960487,7.2
278,Dallas Mavericks,Dallas Mavericks2014,2014,82,49,33,0.598,3966,8597,3249,6858,47.4,721,1877,38.4,1378,1733,79.5,840,2514,3354,1935,1110,704,356,288,197,59.6,1.74,27.6,69.4,48.7,14.1,52.6,56.4,94.94,0.253,0.200933217,51.5,0.303,0.22972973,16.7,30.6,37.8,81.4,46.4,8.3,23,35.9,18.7,24.6,75.8,11.5,31.3,42.8,22,16,7.7,3.5,4.3,-2.4,7574.8992,0.026006947,1.1,97,-2.6,-2.879651305,1.938043509,5.9
279,Denver Nuggets,Denver Nuggets2014,2014,82,36,46,0.439,3951,8559,3147,7042,44.7,702,1959,35.8,1563,2154,72.6,1009,2717,3726,1838,1305,615,459,459,-176,58.4,1.41,31,70.3,50.5,16,49.7,53.6,98.95,0.306,0.22195399,50,0.306,0.233796296,14.5,29.7,39.5,86.4,45.7,7.4,21,35.1,20.2,26.4,76.3,11.3,32.5,43.8,22.5,14.4,8.5,5.6,5.6,2.1,7954.3296,-0.022126315,-0.3,101.3,1.5,-1.184230595,-0.04404139,6.7
280,Golden State Warriors,Golden State Warriors2014,2014,82,51,31,0.622,3966,8549,3236,7005,46.2,774,2037,38,1303,1731,75.3,896,2819,3715,1912,1247,642,407,342,394,59.1,1.53,28.4,72.4,50.8,15.5,51.7,55,97.37,0.247,0.186009993,47.7,0.292,0.223933649,15.3,27.6,36.8,84.4,43.6,6.9,20.2,34.4,18.9,24.7,76.5,10.7,32.6,43.3,20.5,15,7.9,4.2,5,-4.8,7792.9344,0.050558619,4,100.8,0.2,-3.792365643,-2.628689988,7.5
281,Los Angeles Lakers,Los Angeles Lakers2014,2014,82,27,55,0.329,3941,8442,3139,6980,45,774,2032,38.1,1390,1835,75.7,745,2620,3365,2006,1239,611,446,387,-516,63.9,1.62,23.5,67.6,45.9,15.2,50.5,54.2,99.72,0.263,0.199140401,51.3,0.264,0.191964286,14.2,32.4,42,89.6,46.8,8.1,22.5,36.1,17.2,23.7,72.7,13,36,49,25.8,14.2,9.6,4.7,5.4,6.3,7950.144,-0.064904485,-0.8,91.1,1,0.717611543,3.847828586,-3.1
282,Miami Heat,Miami Heat2014,2014,82,54,28,0.659,3976,8380,3142,6272,50.1,665,1829,36.4,1431,1884,76,627,2397,3024,1847,1212,732,367,256,390,58.8,1.52,24.4,68.6,47.6,15.9,55.4,59,91.9,0.3,0.228156888,51.1,0.283,0.212658228,18,31.4,36.1,79,45.7,8.5,23.4,36.2,16.8,22.3,75,10.8,29.5,40.3,21.4,16.7,8.1,3.1,4.5,-4.8,7378.5216,0.052856117,4.3,93,-2.1,1.549865991,-1.299634509,7.3
283,Toronto Raptors,Toronto Raptors2014,2014,82,48,34,0.585,3991,8305,2992,6718,44.5,713,1917,37.2,1608,2055,78.2,935,2552,3487,1737,1159,577,343,352,266,58.1,1.5,31.2,70.1,50.5,15.1,49.8,54.5,92.48,0.306,0.239356951,49.3,0.315,0.236907731,15.9,29.9,36.1,80.2,45,6.9,19.2,36,19,25.3,75.2,10.4,30.5,41,21,14.9,7.3,4.3,4.2,-3.2,7532.352,0.035314335,0.5,101.3,-0.8,0.24492208,0.620350105,9.5
284,Detroit Pistons,Detroit Pistons2014,2014,82,29,53,0.354,3956,8286,3182,7124,44.7,507,1580,32.1,1415,2111,67,1196,2525,3721,1714,1193,687,395,403,-300,53.9,1.44,34.7,69.3,51.1,15.2,48.2,51.4,95.57,0.296,0.198624368,52,0.288,0.217548077,15.6,30.7,39.1,83.2,47,8.3,22.8,36.5,18.1,24,75.6,11.1,31.9,43,24.4,15,8.2,4.9,4.8,3.7,7727.8464,-0.038820647,-3.8,104,-0.4,-1.892370859,-3.105970936,8.1
285,Atlanta Hawks,Atlanta Hawks2014,2014,82,38,44,0.463,3966,8282,3061,6688,45.8,768,2116,36.3,1392,1782,78.1,713,2565,3278,2041,1251,680,326,354,-39,66.7,1.63,25.6,71.1,48.5,15.9,51.5,55.4,95.41,0.266,0.208133971,51,0.262,0.196407186,15.8,28.9,38.6,83.5,46.2,8,21.9,36.5,16.4,21.9,74.8,10.8,32.8,43.5,23.2,15.2,8.2,4.3,4,0.5,7689.6768,-0.005071735,0.5,96.7,0.1,1.172678566,-0.908207672,5
286,Washington Wizards,Washington Wizards2014,2014,82,44,38,0.537,4011,8254,3177,6920,45.9,647,1704,38,1253,1715,73.1,886,2573,3459,1909,1204,668,377,320,104,60.1,1.59,28.6,71.9,49.8,15.3,50.6,53.8,94.18,0.248,0.181069364,50.4,0.288,0.220024722,16.7,28.1,37,80.9,45.8,7.5,21.5,34.7,17.8,23.3,76.5,10.1,32.1,42.2,22.2,16,7.7,3.9,4.6,-1.3,7672.896,0.013554204,0.2,100.5,-1.4,-3.895535772,0.052494225,7.6
287,Sacramento Kings,Sacramento Kings2014,2014,82,28,54,0.341,3966,8241,3026,6766,44.7,491,1475,33.3,1698,2237,75.9,990,2656,3646,1547,1249,587,318,459,-238,51.1,1.24,31.6,72.5,51.8,15.9,48.4,53.2,95.04,0.331,0.250960686,51.2,0.318,0.233861145,14.2,27.5,37.8,82.1,46.1,8.5,22.4,38,19.2,26.1,73.7,9.9,31.3,41.2,23.5,13.6,7.8,5.6,3.9,2.9,7688.9088,-0.030953677,-2.8,104.1,1.7,1.709954084,-4.058372048,10.6
288,New Orleans Pelicans,New Orleans Pelicans2014,2014,82,34,48,0.415,3971,8177,3101,6761,45.9,486,1303,37.3,1489,1936,76.9,933,2486,3419,1745,1129,647,523,504,-222,56.3,1.55,30.5,69.4,49.7,14.7,49.5,53.7,93.07,0.286,0.220233693,51.5,0.331,0.24968789,15.4,30.6,37.3,80.1,46.5,8,22.3,35.7,20,26.5,75.2,10.7,31,41.7,22.5,14.5,7,6.1,6.4,2.7,7496.4864,-0.029613874,-2,99.9,-0.7,-2.94541969,0.623990164,8
289,Philadelphia 76ers,Philadelphia 76ers2014,2014,82,19,63,0.232,3971,8155,3108,7150,43.5,577,1847,31.2,1362,1918,71,949,2556,3505,1791,1384,765,330,558,-857,57.6,1.29,29,68.4,47.9,16.8,47.5,51,99.74,0.268,0.19048951,52.4,0.324,0.244418331,16.8,31.6,40,85.1,47.1,9,24.4,37,20.8,27.6,75.4,11.9,35,46.9,26.1,17,9,6.8,4,10.5,8091.7632,-0.105910168,-4.9,97.4,0,-5.392882089,3.977962319,1
